periode_data;triwulan;bulan;wilayah;kecamatan;kelurahan;jumlah_rata_rata_ketinggian_air;jumlah_rw_terdampak;jumlah_kk_terdampak;jumlah_jiwa_terdampak;jumlah_kejadian;jumlah_korban_meninggal;jumlah_korban_luka;jumlah_pengungsi;jumlah_tempat_pengungsian;nilai_kerugian
202403;1;1;jakarta barat;cengkareng;cengkareng timur;30 s.d 40 cm;2;0;0;2;0;0;0;0;0
202403;1;1;jakarta barat;kembangan;joglo;30 s.d 40 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta barat;kali deres;kamal;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta barat;cengkareng;kapuk;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta barat;cengkareng;kedaung kali angke;30 s.d 40 cm;2;0;0;3;0;0;0;0;0
202403;1;1;jakarta barat;kebon jeruk;kedoya selatan;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta barat;kembangan;kembangan selatan;30 s.d 100 cm;3;0;0;2;0;0;0;0;0
202403;1;1;jakarta barat;kembangan;kembangan utara;30 s.d 100 cm;1;24;95;1;0;0;30;1;0
202403;1;1;jakarta barat;kali deres;pegadungan;40 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta barat;cengkareng;rawa buaya;30 s.d 100 cm;3;0;0;4;0;0;0;0;0
202403;1;1;jakarta barat;kali deres;semanan;30 s.d 40 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta barat;kebon jeruk;sukabumi selatan;30 s.d 80 cm;1;0;0;2;0;0;0;0;0
202403;1;1;jakarta barat;kali deres;tegal alur;30 s.d 35 cm;4;0;0;2;0;0;26;1;0
202403;1;1;jakarta selatan;mampang prapatan;bangka;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta selatan;pesanggrahan;bintaro;30 s.d 100 cm;1;30;60;1;0;0;0;0;0
202403;1;1;jakarta selatan;jagakarsa;ciganjur;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta selatan;cilandak;cilandak barat;40 s.d 150 cm;3;8;24;2;0;0;0;0;0
202403;1;1;jakarta selatan;pasar minggu;cilandak timur;20 s.d 180 cm;2;314;975;8;0;0;55;2;0
202403;1;1;jakarta selatan;kebayoran baru;cipete utara;30 s.d 35 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta selatan;kebayoran lama;cipulir;30 s.d 100 cm;1;0;0;3;0;0;0;0;0
202403;1;1;jakarta selatan;pancoran;duren tiga;30 s.d 50 cm;1;0;0;3;0;0;0;0;0
202403;1;1;jakarta selatan;cilandak;gandaria selatan;30 cm;1;0;0;2;0;0;0;0;0
202403;1;1;jakarta selatan;pasar minggu;jati padang;10 s.d 40 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta selatan;pancoran;kalibata;40 s.d 60 cm;3;0;0;3;0;0;0;0;0
202403;1;1;jakarta selatan;kebayoran lama;kebayoran lama utara;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta selatan;kebayoran baru;kramat pela;40 cm;3;0;0;1;0;0;0;0;0
202403;1;1;jakarta selatan;mampang prapatan;kuningan barat;30 s.d 120 cm;3;0;0;4;0;0;0;0;0
202403;1;1;jakarta selatan;cilandak;lebak bulus;30 s.d 60 cm;4;10;30;2;0;0;0;0;0
202403;1;1;jakarta selatan;pasar minggu;pejaten barat;30 s.d 150 cm;2;0;0;2;0;0;0;0;0
202403;1;1;jakarta selatan;pasar minggu;pejaten timur;30 s.d 120 cm;3;0;0;2;0;0;0;0;0
202403;1;1;jakarta selatan;mampang prapatan;pela mampang;20 s.d 100 cm;1;0;0;3;0;0;0;0;0
202403;1;1;jakarta selatan;pesanggrahan;pesanggrahan;30 s.d 60 cm;2;40;160;1;0;0;0;0;0
202403;1;1;jakarta selatan;kebayoran baru;petogogan;30 s.d 65 cm;2;0;0;2;0;0;0;0;0
202403;1;1;jakarta selatan;kebayoran lama;pondok pinang;30 s.d 85 cm;2;0;0;3;0;0;0;0;0
202403;1;1;jakarta selatan;pancoran;rawa jati;30 s.d 50 cm;2;0;0;2;0;0;0;0;0
202403;1;1;jakarta selatan;jagakarsa;srengseng sawah;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta timur;kramat jati;bale kambang;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta timur;jatinegara;bidara cina;30 s.d 80 cm;2;0;0;2;0;0;0;0;0
202403;1;1;jakarta timur;kramat jati;cawang;30 s.d 180 cm;3;0;0;2;0;0;0;0;0
202403;1;1;jakarta timur;kramat jati;cililitan;30 s.d 80 cm;2;0;0;2;0;0;0;0;0
202403;1;1;jakarta timur;jatinegara;cipinang muara;30 s.d 40 cm;1;0;0;2;0;0;0;0;0
202403;1;1;jakarta timur;kramat jati;dukuh;40 s.d 80 cm;2;0;0;1;0;0;0;0;0
202403;1;1;jakarta timur;makasar;halim perdana kusumah;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta timur;jatinegara;kampung melayu;30 s.d 110 cm;4;0;0;3;0;0;0;0;0
202403;1;1;jakarta timur;makasar;kebon pala;30 s.d 35 cm;2;0;0;2;0;0;0;0;0
202403;1;1;jakarta timur;cipayung;lubang buaya;30 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta timur;makasar;makasar;30 s.d 70 cm;3;0;0;1;0;0;23;1;0
202403;1;1;jakarta timur;ciracas;rambutan;30 s.d 40 cm;2;0;0;2;0;0;0;0;0
202403;1;1;jakarta timur;cakung;rawa terate;30 cm;1;270;600;1;0;0;0;0;0
202403;1;1;jakarta utara;tanjung priok;kebon bawang;40 s.d 60 cm;1;0;0;1;0;0;0;0;0
202403;1;1;jakarta utara;tanjung priok;papanggo;10 cm;1;0;0;2;0;0;0;0;0
202403;1;1;jakarta utara;penjaringan;pluit;10 s.d 15 cm;1;0;0;3;0;0;0;0;0
202403;1;1;jakarta utara;cilincing;semper barat;30 s.d 80 cm;2;34;76;1;0;0;76;1;0
202403;1;1;jakarta utara;cilincing;semper timur;10 s.d 30 cm;2;12;44;1;0;0;44;1;0
202403;1;2;jakarta barat;kebon jeruk;duri kepa;30 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;cengkareng;duri kosambi;30 s.d 60 cm;1;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;grogol petamburan;jelambar baru;30 s.d 50 cm;2;0;0;1;0;0;0;0;0
202403;1;2;jakarta barat;kembangan;joglo;30 s.d 120 cm;2;0;0;2;0;0;0;0;0
